sample_name,abdominal,caudal,img_name,crosses,plates,wells,split
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA1,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A01.tif,95-1_Female_x_72-1_Male,plate1,A1,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA10_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA10,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A10.tif,95-1_Female_x_72-1_Male,plate1,A10,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA12_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA12,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A12.tif,95-1_Female_x_72-1_Male,plate1,A12,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA4_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA4,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A04.tif,95-1_Female_x_72-1_Male,plate1,A4,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA8_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA8,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A08.tif,95-1_Female_x_72-1_Male,plate1,A8,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB1,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B01.tif,95-1_Female_x_72-1_Male,plate1,B1,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB2_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB2,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B02.tif,95-1_Female_x_72-1_Male,plate1,B2,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB3_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB3,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B03.tif,95-1_Female_x_72-1_Male,plate1,B3,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB5_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB5,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B05.tif,95-1_Female_x_72-1_Male,plate1,B5,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB7_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB7,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B07.tif,95-1_Female_x_72-1_Male,plate1,B7,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB8_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCB8,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B08.tif,95-1_Female_x_72-1_Male,plate1,B8,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC2_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC2,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C02.tif,95-1_Female_x_72-1_Male,plate1,C2,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC5_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC5,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C05.tif,95-1_Female_x_72-1_Male,plate1,C5,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC6_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC6,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C06.tif,95-1_Female_x_72-1_Male,plate1,C6,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC9_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCC9,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C09.tif,95-1_Female_x_72-1_Male,plate1,C9,train
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD10_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD10,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D10.tif,95-1_Female_x_72-1_Male,plate1,D10,train
